央卫频道,#genre#
CCTV11,http://183.220.20.17:4321/udp/239.11.0.22:5140$IPTV$四川移动
CCTV12,http://183.220.20.17:4321/udp/239.11.0.113:5140$IPTV$四川移动
CCTV13,http://183.220.20.17:4321/udp/239.11.0.24:5140$IPTV$四川移动
CCTV14,http://183.220.20.17:4321/udp/239.11.0.114:5140$IPTV$四川移动
CCTV15,http://183.220.20.17:4321/udp/239.11.0.26:5140$IPTV$四川移动
CCTV17,http://183.220.20.17:4321/udp/239.11.0.107:5140$IPTV$四川移动
湖南卫视,http://183.220.20.17:4321/udp/239.11.0.119:5140$IPTV$四川移动
浙江卫视,http://183.220.20.17:4321/udp/239.11.0.70:5140$IPTV$四川移动
江苏卫视,http://183.220.20.17:4321/udp/239.11.0.76:5140$IPTV$四川移动
北京卫视,http://183.220.20.17:4321/udp/239.11.0.121:5140$IPTV$四川移动
江西卫视,http://183.220.20.17:4321/udp/239.11.0.42:5140$IPTV$四川移动
广东卫视,http://183.220.20.17:4321/udp/239.11.0.115:5140$IPTV$四川移动
深圳卫视,http://183.220.20.17:4321/udp/239.11.0.71:5140$IPTV$四川移动
东方卫视,http://183.220.20.17:4321/udp/239.11.0.68:5140$IPTV$四川移动
海南卫视,http://183.220.20.17:4321/udp/239.11.0.193:5140$IPTV$四川移动
天津卫视,http://183.220.20.17:4321/udp/239.11.0.123:5140$IPTV$四川移动
重庆卫视,http://183.220.20.17:4321/udp/239.11.0.116:5140$IPTV$四川移动
辽宁卫视,http://183.220.20.17:4321/udp/239.11.0.118:5140$IPTV$四川移动
东南卫视,http://183.220.20.17:4321/udp/239.11.0.41:5140$IPTV$四川移动
广西卫视,http://183.220.20.17:4321/udp/239.11.0.48:5140$IPTV$四川移动
河北卫视,http://183.220.20.17:4321/udp/239.11.0.31:5140$IPTV$四川移动
山西卫视,http://183.220.20.17:4321/udp/239.11.0.32:5140$IPTV$四川移动
陕西卫视,http://183.220.20.17:4321/udp/239.11.0.54:5140$IPTV$四川移动
贵州卫视,http://183.220.20.17:4321/udp/239.11.0.51:5140$IPTV$四川移动
湖北卫视,http://183.220.20.17:4321/udp/239.11.0.74:5140$IPTV$四川移动
青海卫视,http://183.220.20.17:4321/udp/239.11.0.56:5140$IPTV$四川移动
河南卫视,http://183.220.20.17:4321/udp/239.11.0.44:5140$IPTV$四川移动
山东卫视,http://183.220.20.17:4321/udp/239.11.0.73:5140$IPTV$四川移动
安徽卫视,http://183.220.20.17:4321/udp/239.11.0.117:5140$IPTV$四川移动
宁夏卫视,http://183.220.20.17:4321/udp/239.11.0.57:5140$IPTV$四川移动
甘肃卫视,http://183.220.20.17:4321/udp/239.11.0.55:5140$IPTV$四川移动
西藏卫视,http://183.220.20.17:4321/udp/239.11.0.53:5140$IPTV$四川移动
内蒙古卫视,http://183.220.20.17:4321/udp/239.11.0.33:5140$IPTV$四川移动
吉林卫视,http://183.220.20.17:4321/udp/239.11.0.35:5140$IPTV$四川移动
新疆卫视,http://183.220.20.17:4321/udp/239.11.0.58:5140$IPTV$四川移动
兵团卫视,http://183.220.20.17:4321/udp/239.11.0.204:5140$IPTV$四川移动
云南卫视,http://183.220.20.17:4321/udp/239.11.0.52:5140$IPTV$四川移动
黑龙江卫视,http://183.220.20.17:4321/udp/239.11.0.36:5140$IPTV$四川移动
CCTV1,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.144:5146$广东电信
CCTV2,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.158:5146$广东电信
CCTV3,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.169:5146$广东电信
CCTV4,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.163:5146$广东电信
CCTV5,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.170:5146$广东电信
CCTV6,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.171:5146$广东电信
CCTV7,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.159:5146$广东电信
CCTV8,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.172:5146$广东电信
CCTV9,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.160:5146$广东电信
CCTV10,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.113:5146$广东电信
CCTV11,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.238:5146$广东电信
CCTV12,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.109:5146$广东电信
CCTV13,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.188:5146$广东电信
CCTV14,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.161:5146$广东电信
CCTV15,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.239:5146$广东电信
CCTV16,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.165:5146$广东电信
CCTV17,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.121:5146$广东电信
CCTV5+,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.87:5146$广东电信
安徽卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.92:5146$广东电信
北京卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.151:5146$广东电信
东方卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.218:5146$广东电信
东南卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.104:5146$广东电信
甘肃卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.189:5146$广东电信
广西卫视,http://yahao.myqnapcloud.com:4022/rtp/239.253.43.36:5146$广东电信
贵州卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.221:5146$广东电信
河北卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.214:5146$广东电信
河南卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.229:5146$广东电信
黑龙江卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.124:5146$广东电信
湖北卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.128:5146$广东电信
湖南卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.5:5146$广东电信
吉林卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.111:5146$广东电信
江苏卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.18:5146$广东电信
江西卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.219:5146$广东电信
辽宁卫视,http://yahao.myqnapcloud.com:4022/rtp/239.77.1.103:5146$广东电信
CCTV1,http://103.72.172.253:8041/hls/218855428/index.m3u8$北京联通
CCTV2,http://103.72.172.253:8041/hls/226419643/index.m3u8$北京联通
CCTV3,http://103.72.172.253:8041/hls/236821488/index.m3u8$北京联通
CCTV4,http://103.72.172.253:8041/hls/238962782/index.m3u8$北京联通
CCTV5,http://103.72.172.253:8041/hls/251285191/index.m3u8$北京联通
CCTV6,http://103.72.172.253:8041/hls/254779335/index.m3u8$北京联通
CCTV7,http://103.72.172.253:8041/hls/256418271/index.m3u8$北京联通
CCTV8,http://103.72.172.253:8041/hls/269482854/index.m3u8$北京联通
CCTV9,http://103.72.172.253:8041/hls/281284444/index.m3u8$北京联通
CCTV10,http://103.72.172.253:8041/hls/294729569/index.m3u8$北京联通
CCTV11,http://103.72.172.253:8041/hls/311257824/index.m3u8$北京联通
CCTV12,http://103.72.172.253:8041/hls/311517662/index.m3u8$北京联通
CCTV13,http://103.72.172.253:8041/hls/318237429/index.m3u8$北京联通
CCTV14,http://103.72.172.253:8041/hls/326994135/index.m3u8$北京联通
CCTV15,http://103.72.172.253:8041/hls/327589764/index.m3u8$北京联通
云南卫视,http://103.72.172.253:8041/hls/411289696/index.m3u8$北京联通
宁夏卫视,http://103.72.172.253:8041/hls/416877897/index.m3u8$北京联通
广东卫视,http://103.72.172.253:8041/hls/418261266/index.m3u8$北京联通
