
4K频道,#genre#
海南卫视,https://live.chinacert.cftest5.cn/mg/?id=947472502
海峡卫视,https://live.chinacert.cftest5.cn/mg/?id=849119120
中国农林卫视,https://live.chinacert.cftest5.cn/mg/?id=956904896
兵团卫视,https://live.chinacert.cftest5.cn/mg/?id=956923145
辽宁卫视,https://live.chinacert.cftest5.cn/mg/?id=630291707
上海新闻综合,https://live.chinacert.cftest5.cn/mg/?id=651632657
上视东方影视,https://live.chinacert.cftest5.cn/mg/?id=617290047
南京新闻综合频道,https://live.chinacert.cftest5.cn/mg/?id=838109047
南京教科频道,https://live.chinacert.cftest5.cn/mg/?id=838153729
南京十八频道,https://live.chinacert.cftest5.cn/mg/?id=838151753
财富天下,https://live.chinacert.cftest5.cn/mg/?id=956923159
香港电影,https://live.chinacert.cftest5.cn/mg/?id=625703337
抗战影片,https://live.chinacert.cftest5.cn/mg/?id=617432318
新片放映,https://live.chinacert.cftest5.cn/mg/?id=619495952
CHC影迷电影,https://live.chinacert.cftest5.cn/mg/?id=952383261
CHC动作电影,https://live.chinacert.cftest5.cn/mg/?id=644368714
CHC影迷电影,https://live.chinacert.cftest5.cn/mg/?id=644368373
CHC影迷电影,https://live.chinacert.cftest5.cn/mg/?id=713591450
经典影片,https://live.chinacert.cftest5.cn/mg/?id=629943678
南方影视,https://live.chinacert.cftest5.cn/mg/?id=614961829

DJ音乐1,https://vd3.bdstatic.com/mda-nda3jnm5kjr0pzkk/480p/h264_delogo/1649645090089685317/mda-nda3jnm5kjr0pzkk.mp4
DJ音乐1,https://vd4.bdstatic.com/mda-ndc2akp3ve971zsx/480p/h264_delogo/1649813962979142773/mda-ndc2akp3ve971zsx.mp4
